id,Stamp,x_global,y_global,vx_global,vy_global,v
1,20.90001344680786,3805.7921,2545.4311,-7.9971,8.6861,42.50469578052759
2,21.000041723251343,3787.9831,2558.1251,-6.7184,6.7439,34.26948251110892
1,21.000041723251343,3805.1346,2546.2659,-7.4025,8.5444,40.69811983157944
2,21.1100172996521,3787.3788,2558.8424,-6.4845,6.7787,33.77090020509373
1,21.1100172996521,3804.3631,2547.1565,-7.4025,8.5444,40.69811983157944
2,21.230048418045044,3786.5234,2559.9064,-6.8078,7.4185,36.24759949081318
1,21.230048418045044,3803.4831,2548.1721,-7.4025,8.5444,40.69811983157944
2,21.320000886917114,3785.8906,2560.508,-6.5865,6.9193,34.390590047720906
1,21.320000886917114,3802.697,2549.0795,-7.4025,8.5444,40.69811983157944
2,21.410034656524658,3785.3121,2561.1213,-6.6059,6.9149,34.427324734681314
1,21.410034656524658,3802.0462,2549.8307,-7.4025,8.5444,40.69811983157944
2,21.51002025604248,3784.7064,2561.6921,-6.6377,6.7199,34.003542171485606
1,21.51002025604248,3801.3665,2550.6153,-7.4025,8.5444,40.69811983157944
2,21.60000467300415,3784.1202,2562.4315,-6.3532,6.7494,33.369019400875416
1,21.60000467300415,3800.5803,2551.5227,-7.4025,8.5444,40.69811983157944
2,21.710026264190674,3783.5887,2563.0768,-6.3073,6.8875,33.62093360450301
1,21.710026264190674,3799.892,2551.9916,-7.4725,8.1081,39.69472083924511
2,21.80001187324524,3782.8673,2563.8644,-6.2567,6.7678,33.1804818533547
1,21.80001187324524,3799.0032,2552.956,-7.4725,8.1081,39.69472083924511
2,21.900004625320435,3782.2817,2564.5073,-6.4033,6.9138,33.92470106038961
1,21.900004625320435,3798.6294,2553.4578,-6.5815,7.4713,35.84422685150846
2,22.000009536743164,3781.5005,2565.3833,-6.9096,7.5011,36.714541953770855
1,22.000009536743164,3798.0169,2554.1531,-6.5815,7.4713,35.84422685150846
2,22.10006022453308,3780.8029,2566.0744,-6.7773,7.1844,35.55579118095954
1,22.10006022453308,3797.3101,2554.9555,-6.5815,7.4713,35.84422685150846
2,22.200003623962402,3780.227,2566.6966,-6.5212,6.9246,34.24281974978112
1,22.200003623962402,3796.653,2555.7014,-6.5815,7.4713,35.84422685150846
2,22.300006866455078,3779.6319,2567.3877,-6.4797,7.022,34.39742939997697
1,22.300006866455078,3796.0338,2556.4043,-6.5815,7.4713,35.84422685150846
2,22.40000295639038,3778.9325,2568.0903,-6.268,6.6621,32.929946087316935
1,22.40000295639038,3795.2528,2557.2909,-6.5815,7.4713,35.84422685150846
2,22.50001311302185,3778.3266,2568.7962,-6.487,7.0841,34.57980216625885
1,22.50001311302185,3794.7286,2557.8861,-6.5815,7.4713,35.84422685150846
2,22.600049018859863,3777.6545,2569.476,-6.3422,6.802,33.480136420367224
1,22.600049018859863,3793.9989,2558.7144,-6.5815,7.4713,35.84422685150846
2,22.700005769729614,3777.0281,2570.1281,-6.5411,6.9643,34.396010372599896
1,22.700005769729614,3793.4323,2559.3576,-6.5815,7.4713,35.84422685150846
2,22.800010204315186,3776.3932,2570.9,-6.4189,7.0815,34.40777464762289
1,22.800010204315186,3792.7477,2560.1348,-6.5815,7.4713,35.84422685150846
2,22.910069942474365,3775.6354,2571.7433,-6.4493,7.13,34.61065734062848
1,22.910069942474365,3791.9803,2561.0059,-6.5815,7.4713,35.84422685150846
2,23.010023832321167,3775.0267,2572.3682,-6.5121,7.0589,34.574156279440864
1,23.010023832321167,3790.7586,2562.0222,-7.2752,7.8453,38.51785796231145
2,23.100009441375732,3774.4516,2573.008,-6.3072,6.8755,33.58884347944121
1,23.100009441375732,3790.2533,2562.6764,-6.1277,7.1666,33.94493868805775
2,23.200012683868408,3773.8662,2573.5683,-6.413,6.7467,33.509895663436495
1,23.200012683868408,3789.715,2563.306,-6.1277,7.1666,33.94493868805775
2,23.31004810333252,3773.2148,2574.4105,-6.3773,7.0743,34.28811978089204
1,23.31004810333252,3788.6816,2564.3101,-7.4363,8.005,39.333782320829506
